client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0017_07,0,,425,test,0.0,4.155524730682373
f0032_27,0,,279,test,0.0,4.100382328033447
f0042_43,0,,331,test,0.0,4.14783239364624
f0043_10,0,,331,test,0.0,4.182955741882324
f0047_00,0,,396,test,0.0,4.153722286224365
f0077_13,0,,410,test,0.0,4.186529159545898
f0087_24,0,,325,test,0.030303030303030304,4.144215106964111
f0125_02,0,,311,test,0.0,4.186620712280273
f0129_32,0,,306,test,0.0,4.159085273742676
f0148_21,0,,186,test,0.0,4.156599998474121
f0164_32,0,,431,test,0.0,4.164072513580322
f0174_06,0,,353,test,0.0,4.161106109619141
f0208_05,0,,335,test,0.0,4.131176471710205
f0225_20,0,,34,test,0.0,4.2127299308776855
f0232_28,0,,287,test,0.0,4.155425071716309
f0245_40,0,,388,test,0.02564102564102564,4.1836018562316895
f0301_33,0,,383,test,0.0,4.143699645996094
f0307_12,0,,360,test,0.0,4.132392406463623
f0308_10,0,,325,test,0.0,4.162300109863281
f0334_01,0,,275,test,0.0,4.122845649719238
f0355_32,0,,85,test,0.0,4.102842330932617
f0367_33,0,,368,test,0.02702702702702703,4.17624044418335
f0385_18,0,,381,test,0.0,4.165432929992676
f0387_49,0,,315,test,0.0,4.158967018127441
f0426_47,0,,178,test,0.0,4.116381645202637
f0435_37,0,,92,test,0.0,4.262372016906738
f0468_24,0,,406,test,0.0,4.155580997467041
f0495_04,0,,420,test,0.0,4.114163398742676
f0508_20,0,,362,test,0.02702702702702703,4.125627040863037
f0524_04,0,,295,test,0.06666666666666667,4.117370128631592
f0599_04,0,,252,test,0.0,4.168882846832275
f0609_12,0,,344,test,0.05714285714285714,4.126560688018799
f0620_49,0,,353,test,0.0,4.158871173858643
f0631_03,0,,390,test,0.0,4.152374744415283
f0642_27,0,,363,test,0.02702702702702703,4.1673173904418945
f0700_20,0,,373,test,0.0,4.190003871917725
f0716_15,0,,317,test,0.0625,4.089410781860352
f0758_07,0,,276,test,0.0,4.159197807312012
f0766_01,0,,263,test,0.0,4.1033806800842285
f0773_10,0,,191,test,0.0,4.092700481414795
f0776_08,0,,246,test,0.0,4.18282413482666
f0778_20,0,,360,test,0.0,4.160731792449951
f0790_06,0,,116,test,0.0,4.146461486816406
f0807_16,0,,309,test,0.0,4.1388983726501465
f0818_03,0,,356,test,0.0,4.167623996734619
f0826_18,0,,125,test,0.0,4.16539192199707
f0831_15,0,,384,test,0.02564102564102564,4.107334613800049
f0841_10,0,,390,test,0.02564102564102564,4.158224582672119
f0852_40,0,,355,test,0.0,4.122441291809082
f0871_23,0,,336,test,0.029411764705882353,4.215195655822754
f0902_17,0,,2,test,0.0,4.111578941345215
f0917_11,0,,353,test,0.05555555555555555,4.131051063537598
f0929_23,0,,354,test,0.0,4.153258800506592
f0957_15,0,,335,test,0.029411764705882353,4.092119216918945
f0995_43,0,,336,test,0.0,4.178440093994141
f1006_19,0,,87,test,0.0,4.180009841918945
f1019_45,0,,263,test,0.0,4.162093639373779
f1040_01,0,,21,test,0.0,4.215821743011475
f1045_35,0,,223,test,0.043478260869565216,4.069655418395996
f1066_29,0,,203,test,0.0,4.170591831207275
f1093_13,0,,307,test,0.0,4.158953666687012
f1115_26,0,,218,test,0.0,4.144345760345459
f1117_18,0,,216,test,0.045454545454545456,4.101499557495117
f1156_23,0,,274,test,0.0,4.145802974700928
f1171_06,0,,312,test,0.0,4.145755767822266
f1175_48,0,,301,test,0.0,4.148335933685303
f1210_47,0,,251,test,0.0,4.134036540985107
f1217_02,0,,305,test,0.0,4.156515598297119
f1274_24,0,,246,test,0.0,4.159995079040527
f1322_16,0,,164,test,0.0,4.146224021911621
f1334_00,0,,106,test,0.09090909090909091,4.045162677764893
f1342_17,0,,309,test,0.0,4.154272556304932
f1351_29,0,,274,test,0.0,4.148492336273193
f1366_49,0,,136,test,0.0,4.188441753387451
f1368_03,0,,184,test,0.0,4.179406642913818
f1375_23,0,,295,test,0.0,4.159702777862549
f1388_41,0,,160,test,0.0,4.144082069396973
f1397_09,0,,330,test,0.0,4.13062858581543
f1414_16,0,,267,test,0.0,4.150589466094971
f1425_23,0,,372,test,0.0,4.142343997955322
f1448_42,0,,364,test,0.0,4.158881664276123
f1455_14,0,,333,test,0.0,4.101776123046875
f1462_01,0,,302,test,0.0,4.130234241485596
f1510_28,0,,174,test,0.0,4.132714748382568
f1538_15,0,,146,test,0.0,4.128451347351074
f1541_40,0,,27,test,0.0,4.2045440673828125
f1574_26,0,,100,test,0.0,4.070891380310059
f1583_41,0,,181,test,0.0,4.146038055419922
f1610_32,0,,171,test,0.0,4.208034992218018
f1619_37,0,,168,test,0.0,4.147665977478027
f1631_40,0,,173,test,0.0,4.1075239181518555
f1638_14,0,,102,test,0.0,4.1025166511535645
f1653_02,0,,147,test,0.0,4.12830114364624
f1667_29,0,,83,test,0.0,4.124668121337891
f1676_30,0,,102,test,0.0,4.152164936065674
f1706_39,0,,151,test,0.0,4.167866230010986
f1709_03,0,,170,test,0.058823529411764705,4.087327480316162
f1759_19,0,,129,test,0.0,4.120793342590332
f1763_25,0,,157,test,0.0,4.155998229980469
f1773_18,0,,158,test,0.0,4.153645992279053
f1795_30,0,,172,test,0.0,4.135826587677002
f1819_37,0,,158,test,0.0,4.142791748046875
f1822_45,0,,165,test,0.0,4.18388032913208
f1837_00,0,,178,test,0.0,4.172950267791748
f1856_37,0,,155,test,0.0,4.091499328613281
f1863_44,0,,157,test,0.0,4.1119279861450195
f1907_22,0,,117,test,0.08333333333333333,4.084240436553955
f1933_13,0,,160,test,0.0,4.181828498840332
f1938_21,0,,145,test,0.0,4.175918102264404
f1939_13,0,,139,test,0.0,4.124919414520264
f2018_05,0,,160,test,0.0,4.15187931060791
f2019_34,0,,167,test,0.0,4.117566108703613
f2043_25,0,,134,test,0.0,4.087374210357666
f2084_07,0,,160,test,0.0,4.111478805541992
f2108_54,0,,6,test,0.0,3.897984027862549
f2130_74,0,,180,test,0.05555555555555555,4.11659049987793
f2143_66,0,,176,test,0.0,4.149354934692383
f2152_98,0,,147,test,0.0,4.121239185333252
f2184_98,0,,173,test,0.0,4.12950325012207
f2199_64,0,,143,test,0.0,4.081566333770752
f2219_62,0,,156,test,0.0,4.140804290771484
f2222_84,0,,168,test,0.058823529411764705,4.083770751953125
f2239_84,0,,168,test,0.058823529411764705,4.129563331604004
f2256_71,0,,162,test,0.0,4.076445579528809
f2288_58,0,,157,test,0.0,4.183879375457764
f2327_90,0,,159,test,0.0,4.06955623626709
f2347_58,0,,160,test,0.0,4.136470317840576
f2363_77,0,,127,test,0.0,4.094568729400635
f2401_78,0,,174,test,0.0,4.167856693267822
f2423_88,0,,173,test,0.0,4.112311840057373
f2428_96,0,,163,test,0.0,4.153218746185303
f2429_95,0,,179,test,0.0,4.147732734680176
f2475_66,0,,173,test,0.05555555555555555,4.117443561553955
f2506_77,0,,162,test,0.0,4.117520809173584
f2518_67,0,,65,test,0.0,4.1510396003723145
f2521_66,0,,164,test,0.0,4.124443054199219
f2530_91,0,,184,test,0.0,4.130651950836182
f2552_82,0,,166,test,0.0,4.149124622344971
f2557_98,0,,174,test,0.0,4.167455673217773
f2559_95,0,,125,test,0.0,4.1188225746154785
f2599_91,0,,144,test,0.0,4.1466498374938965
f3103_38,0,,181,test,0.0,4.098775386810303
f3153_49,0,,174,test,0.0,4.149998188018799
f3178_23,0,,171,test,0.0,4.120487689971924
f3179_39,0,,28,test,0.3333333333333333,4.095815181732178
f3181_10,0,,157,test,0.0,4.160734176635742
f3182_40,0,,160,test,0.0,4.117408752441406
f3195_04,0,,167,test,0.0,4.154716491699219
f3259_15,0,,180,test,0.0,4.147375583648682
f3266_12,0,,47,test,0.0,4.1024274826049805
f3280_34,0,,182,test,0.0,4.135934829711914
f3308_03,0,,169,test,0.0,4.19637393951416
f3329_30,0,,179,test,0.0,4.136345386505127
f3330_43,0,,176,test,0.0,4.162577152252197
f3414_29,0,,157,test,0.0,4.154714107513428
f3418_34,0,,161,test,0.0,4.153604984283447
f3423_29,0,,164,test,0.0,4.175646781921387
f3424_24,0,,163,test,0.0,4.173758029937744
f3451_01,0,,154,test,0.0,4.174572944641113
f3467_12,0,,173,test,0.0,4.155916213989258
f3499_36,0,,174,test,0.0,4.11491584777832
f3527_33,0,,183,test,0.0,4.134692192077637
f3529_11,0,,179,test,0.0,4.122945308685303
f3544_20,0,,167,test,0.0,4.160841464996338
f3562_47,0,,168,test,0.0,4.135848522186279
f3567_49,0,,176,test,0.0,4.120124340057373
f3569_18,0,,176,test,0.0,4.147096157073975
f3588_33,0,,181,test,0.0,4.148715496063232
f3622_43,0,,172,test,0.0,4.187632083892822
f3676_37,0,,10,test,0.0,4.239257335662842
f3691_47,0,,160,test,0.0,4.1919732093811035
f3697_32,0,,180,test,0.0,4.160870552062988
f3702_47,0,,170,test,0.0,4.194906234741211
f3704_45,0,,93,test,0.0,4.0925116539001465
f3718_40,0,,19,test,0.0,4.285099983215332
f3776_05,0,,168,test,0.0,4.178083419799805
f3810_05,0,,148,test,0.0,4.120774745941162
f3816_24,0,,174,test,0.0,4.177681922912598
f3822_47,0,,181,test,0.0,4.146818161010742
f3840_05,0,,181,test,0.0,4.145040988922119
f3862_40,0,,180,test,0.0,4.182127952575684
f3883_18,0,,179,test,0.0,4.158300399780273
f3909_46,0,,169,test,0.0,4.159528732299805
f3913_01,0,,168,test,0.0,4.16099739074707
f3929_28,0,,136,test,0.0,4.1158294677734375
f3937_40,0,,171,test,0.0,4.165287971496582
f3994_27,0,,170,test,0.0,4.196196556091309
f4006_12,0,,177,test,0.05555555555555555,4.164692401885986
f4011_12,0,,181,test,0.0,4.1721038818359375
f4012_13,0,,172,test,0.0,4.136724472045898
f4026_43,0,,181,test,0.0,4.116830348968506
f4036_01,0,,158,test,0.0,4.188224792480469
f4050_05,0,,138,test,0.0,4.146463871002197
f4052_33,0,,67,test,0.0,4.110997676849365
f4090_35,0,,144,test,0.0,4.121546745300293
f4099_10,0,,174,test,0.0,4.138786792755127
